,post_text,post_id,like,love,haha,wow,sad,angry,care,shares,comments,reaction_count,Day,date,hour,time
32,"Why not Enjoy the Diner in this adventure game where you’ll wander into the eternal diner Moon palace! Enjoy The Diner is now available on the Nintendo Switch!

🍽️: http://ninten.do/6187i89Nv",655162250129633,73.0,12.0,0.0,1.0,0.0,0.0,1.0,10,0,87,Wednesday,2023-11-15,3,2023-11-15 03:00:01
33,"Embark on your artist adventure! Draw and sell art to critics to reclaim your lost career while exploring the endearing art-starved town of Phénix in Passpartout 2: The Lost Artist. Now available on Nintendo Switch!

🎨:
http://ninten.do/6189i89ox",655149306797594,187.0,54.0,3.0,7.0,0.0,1.0,3.0,30,19,255,Wednesday,2023-11-15,2,2023-11-15 02:30:23
34,"A ‘howling plague has ravaged the land, turning all who hear it into feral beasts. Are you ready to plunge into danger in search of a cure in this turn-based tactical folktale? Howl is now available on the Nintendo Switch!

⚔️:
http://ninten.do/6180i89lQ",655133103465881,90.0,18.0,2.0,1.0,0.0,0.0,1.0,12,0,112,Wednesday,2023-11-15,2,2023-11-15 02:00:35
35,"Master your backpack, organize your items, and unleash great power in Backpack Hero, now available on Nintendo Switch!

🐭:
http://ninten.do/6180i899i",655122270133631,54.0,13.0,1.0,1.0,0.0,0.0,1.0,13,1,70,Wednesday,2023-11-15,1,2023-11-15 01:30:28
36,"Run, climb, scramble and spelunk your way across the winding paths of the Scottish Highlands in A Highland Song. Coming to Nintendo Switch on Dec. 5.

Pre-order today:
http://ninten.do/6185i89jT",655117250134133,138.0,33.0,1.0,2.0,0.0,0.0,1.0,22,12,175,Wednesday,2023-11-15,1,2023-11-15 01:15:29
37,"Drawn towards a mysterious relic, you are an explorer transported to an ancient cavern of creatures, resources, and trinkets. It is up to you to uncover the mysteries of this strange new world and power up The Core to escape the dangers of the underground. Core Keeper is coming to Nintendo Switch summer 2024.",655112593467932,137.0,39.0,0.0,5.0,0.0,0.0,1.0,24,2,182,Wednesday,2023-11-15,1,2023-11-15 01:00:19
38,"Explore 100 islands in the sky, collect Spirits in card combat, and make a cozy home as you work to become the world's greatest alchemist on Moonstone Island! Coming to Nintendo Switch in spring 2024!",655107826801742,651.0,174.0,2.0,14.0,0.0,0.0,8.0,107,48,849,Wednesday,2023-11-15,0,2023-11-15 00:46:02
39,"Immerse yourself in The Star Named EOS, a storytelling puzzle adventure game that combines photography and puzzle solving for a magical experience. Coming to Nintendo Switch spring 2024!",655095653469626,115.0,23.0,0.0,0.0,0.0,0.0,1.0,17,2,139,Wednesday,2023-11-15,0,2023-11-15 00:30:36
40,"🎪✨ Join the circus and solve the mystery! Death Trick: Double Blind, a captivating visual novel adventure, is coming to Nintendo Switch early 2024! 🕵️🔮",655091766803348,68.0,13.0,0.0,0.0,0.0,0.0,4.0,16,5,85,Wednesday,2023-11-15,0,2023-11-15 00:27:32
41,"Welcome to the Space Program! Become a new recruit in this critically acclaimed and award-winning open world mystery about a solar system trapped in an endless time loop. Outer Wilds: Archaeologist Edition is coming to Nintendo Switch on Dec. 7, 2023.

Pre-order today:
http://ninten.do/6180i89yE",655089000136958,116.0,34.0,0.0,4.0,0.0,0.0,1.0,23,29,155,Wednesday,2023-11-15,0,2023-11-15 00:20:24
42,"Use your demon sword to interfere with the past, create platforms, and shield yourself from danger to explore a dystopian cyberpunk world depicted in gorgeously animated pixel art. Blade Chimera is coming to Nintendo Switch spring 2024.",655087276803797,459.0,98.0,0.0,13.0,2.0,0.0,1.0,103,22,573,Wednesday,2023-11-15,0,2023-11-15 00:15:34
43,"What’s your perfect seaside vacation? For Diana, it’s about relaxing, exploring…and solving a mystery or two. Check out this sleuthy life sim, On Your Tail, coming to Nintendo Switch in 2024!",655085170137341,306.0,62.0,3.0,4.0,0.0,0.0,1.0,53,24,376,Wednesday,2023-11-15,0,2023-11-15 00:10:31
